DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label
Lonart,Evans Medical Plc,N7-6331,6193612751560,BT25-8114,2029-11-08,Tablet,400mg,10 capsules,Nigeria,Genuine
Amatem,Chi Pharmaceuticals Ltd,P3-8178,6192037638821,BN25-6175,2028-12-04,Injection,125mg/5ml,200ml bottle,Nigeria,Genuine
Vitamin B Complex,NovaDrug Industries,Q1-2452,6193899906820,NHa,2023-08-12,SUSPENSION,500mg/5ml,100ml bottle,Ghana,Suspicious
Super Paracetamol,,U1-3363,6196428125983,51,2020-08-27,Injection,5mg,5 vials,Pakistan,Suspicious
Amoxil,Bioraj Pharmaceuticals Ltd,A3-1852,6195690674472,BN25-4159,2027-12-17,Syrup,200mg,10 capsules,Nigeria,Genuine
Antacid,Pfizer Nigeria,O2-2153,6195406417690,BT26-8083,2028-04-17,Capsule,250mg,1 tube,Nigeria,Genuine
Lisinopril,Bioraj Pharmaceuticals Ltd,O7-6922,6198030468755,BN25-3288,2028-02-19,Tablet,250mg/5ml,100 tablets,Nigeria,Genuine
Ibuprofen,Swiss Pharma Nigeria Ltd,S8-4314,6192482629252,BN26-8832,2026-03-11,Syrup,,10 tablets,Nigeria,Genuine
Panadol,NovaDrug Industries,ePdDmQYSyw,WRyfODs3fXqaY,eVsETt,12/12/2026,Inejction,20mg,30 tablets,Pakistan,Suspicious
  Chlorpheniramine ,May & Baker Nigeria Plc,D9-3646,6197750461626,87,UNKNOWN,Suspension,UNKNOWN,1 tube,Unknown,Suspicious
  Multivitamin ,SuperCure Pharma,M6-461518,6191837847716,57,08/05/2026,Tablet,500mg/5ml,5 vials,Pakistan,Suspicious
Promethazine,SKG Pharma Ltd,I9-9060,6193502080213,LOT25-2148,2029-12-01,Suspension,250mg,30 tablets,Nigeria,Genuine
Hydrocortisone,Pfizer Nigeria,G0-4212,6196149872838,B26-9979,2027-02-19,Syrup,250mg/5ml,20 tablets,Nigeria,Genuine
vitamin b complex,May & Baker Nigeira Plc,F5-4251,15255,UNKNOWN,15/12/2025,  Ointment ,100mg,1 pack,India,Suspicious
Panado,PharmaFast Nigeria,E2-649795,4444444444444,BATCH-764,18/01/2026,  Ointment ,250mg,200ml bottle,Nigeria,Suspicious
Folic Acid,Sanofi Nigeria,O7-6547,6192441822267,BN26-6812,2027-09-18,Drops,250mg/5ml,10 capsules,Nigeria,Genuine
Metronidazole,Emzor Pharmaceutical Industries,T1-1931,6199391119263,B24-1916,2027-05-10,Drops,125mg/5ml,20 tablets,Nigeria,Genuine
Prednisolone,Fidson Healthcare Plc,N0-4720,6199886365366,BT24-8532,2028-06-12,Sachet,500mg,60ml bottle,Nigeria,Genuine
Azithromycin,Pharma Deko Plc,C7-5921,6192243864908,B24-0838,2026-09-14,Ointment,250mg,100ml bottle,Nigeria,Genuine
Panado,AlphaHealth Industries,I-41,6197804704075,50,03/09/2026,Cream,10mg,N/A,Ghana,Suspicious
Tetracycline,Chi Pharmaceuticals Ltd,Q9-8106,6191122338653,LOT26-7137,2027-01-25,Sachet,1g,100 tablets,Nigeria,Genuine
Power Drug,HealthMax Pharma,THwUBbnTy,NU5V58ZbKMMZn,??,???,CREAM,250mg,10 tablets,India,Suspicious
Nifedipine,Hovid Nigeria Ltd,U4-8652,6197686342341,L24-9662,2028-03-26,Suspension,250mg/5ml,100ml bottle,Nigeria,Genuine
Lisinopril,Fidson Healthcare Plc,C4-8415,6191656094568,LOT24-5077,2029-10-19,Drops,125mg/5ml,1 vial,Nigeria,Genuine
Folic Acid,Dana Pharmaceuticals Ltd,S3-6710,6194358644963,BT26-2381,2028-04-22,Cream,250mg/5ml,200ml bottle,Nigeria,Genuine
mULTIVITAMIN,Nigerian German Chemicals Plc,-8836,0000000000000,lkPoBO,2020-01-19,Caspule,125mg/5ml,20 capsules,Pakistan,Suspicious
Multivitamin,Sanofi Nigeria,,6198249671830,BT25-8954,2027-04-18,Ointment,5mg,100ml bottle,Nigeria,Genuine
Power Drug,Sunrise Medications,P9-3869,0000000000000,BATCH-826,09/11/2025,  Syrup ,125mg/5ml,200ml bottle,Nigeria,Suspicious
Lisinopril,Nigerian German Chemicals Plc,Z6-7247,6197252145260,LOT25-1586,2027-05-13,Suspension,200mg,20 capsules,Nigeria,Genuine
AUGMENTIN,Chi Pharmaceuitcals Ltd,L-10,6193856162719,BATCH-021,???,SUSPENSION,125mg/5ml,BULK,China,Suspicious
Prednisolone,Sanofi Nigeria,A7-5055,6197100943888,BT24-1638,2026-05-26,Cream,50mg,100ml bottle,Nigeria,Genuine
Ciprofloxacin,Tuyil Pharmaceutical Industries,L0-9894,6190196304533,BN25-3860,2028-12-18,Powder,100mg,10 capsules,Nigeria,Genuine
Tramadol,Tuyil Pharmaceutical Industries,  T2-8643 ,387885,66,24/11/2026,  Powder ,50mg,1 pack,Unknown,Suspicious
Metformin,eVANS mEDICAL pLC,N/A,6196066961066,UNKNOWN,???,Injection,200mg,10 capsules,Nigeria,Suspicious
Hydrocortisone,PharmaPlus International,NONE,0000000000000,BATCH-753,N/A,Tablet,400mg,5 vials,Unknown,Suspicious
Amoxicilin,Sunrise Medications,O28-083,8699724,BATCH-646,UNKNOWN,Cream,20mg,20 capsules,Unknown,Suspicious
Omeprazole,Emzor Pharmaceutical Industries,Y0-8767,6192290349441,L25-5813,2029-05-07,Drops,400mg,5 vials,Nigeria,Genuine
Power Drug,MedExpress Ltd,U6-3071,8888888888888,---,11/05/2025,syrup,???,100 tablets,India,Suspicious
Magic Cure Pill,Emzor Pharmaceutical Industries,FLVM8N,4444444444444,93,2022-12-14,SYRUP,20mg,1 pack,India,Suspicious
Erythromycin,GlaxoSmithKline Nigeria,P9-4695,6192710405412,BN25-2887,2029-03-24,Capsule,5mg,20 tablets,Nigeria,Genuine
Omeprazole,GlaxoSmithKline Nigeria,G8-6739,6198542493214,LOT26-5649,2029-01-05,Tablet,50mg,5 vials,Nigeria,Genuine
Loperamide,SKG Pharma Ltd,D9-7380,6190940970526,L26-7609,2028-01-06,Cream,5mg,200ml bottle,Nigeria,Genuine
Chloroquine,Healwell Pharma Ltd,H5PKP6,764747,N/A,N/A,  Ointment ,10mg,100 tablets,India,Suspicious
gENTAMICIN,MegaDrug Industries,PENDING,6193035821727,UNKNOWN,,Tablet,250mg,200ml bottle,Pakistan,Suspicious
Flagyl,MedExpress Ltd,Y0-659333,0000000000000,UNKNOWN,2022-02-25,  Capsule ,UNKNOWN,30 tablets,Nigeria,Suspicious
Panadol,Pharma Deko Plc,B3-4829,6195910157099,BN26-6133,2026-05-10,Sachet,100mg,10 tablets,Nigeria,Genuine
Multivitamin,Drugfield Pharmaceuticals Ltd,H2-6599,6196216893636,B24-7087,2028-10-11,Drops,5mg,30 tablets,Nigeria,Genuine
VITAMIN C,MedExpress Ltd,hZ3N,13693005,23,2022-05-06,Ointment,50mg,1 tube,China,Suspicious
Spironolactone,Juhel Nigeria Ltd,N3-5391,6192777522596,BT24-6954,2026-07-12,Powder,250mg,30 tablets,Nigeria,Genuine
mULTIVITAMIN,HealthMax Pharma,3XHfXBPJys,b12atowOFimqS,bCjHmZd,2022-08-16,Sachet,10mg,5 vials,Pakistan,Suspicious
Lisinopril,Neimeth International Pharmaceuticals,N2-7693,6192044397353,B26-7606,2026-01-16,Syrup,10mg,1 tube,Nigeria,Genuine
Omeprazloe,NovaDrug Industries,BH-UZNZ,906155026134097312,99,N/A,Ointment,N/A,N/A,Unknown,Suspicious
Panadol,GlaxoSmithKline Nigeria,H1-3901,6195129311008,LOT26-1253,2027-10-21,Drops,125mg/5ml,20 capsules,Nigeria,Genuine
Flagyl,Drugfield Pharmaceuticals Ltd,K7-6147,6199833991402,BT26-8359,2028-04-26,Ointment,20mg,1 tube,Nigeria,Genuine
Chloroquine,Emzor Pharmaceutical Industries,Z3-2262,6191142817855,BT24-8843,2027-04-26,Tablet,10mg,30 tablets,Nigeria,Genuine
Chlorpheniramine,Nigerian German Chemicals Plc,B5-8046,6197303064427,BN24-1234,2028-07-03,Injection,250mg/5ml,100ml bottle,Nigeria,Genuine
Nifedipine,Hovid Nigeria Ltd,J2-3873,6192231059279,LOT25-3122,2027-09-23,Tablet,125mg/5ml,20 capsules,Nigeria,Genuine
Ciprofloxacin,Dana Pharmaceuticals Ltd,O4-6491,6195611404287,B25-0802,2028-11-01,Cream,200mg,100ml bottle,Nigeria,Genuine
Amoxil,MegaDrug Industries,CC-ZNBW,92449,67,18/08/2026,  Drops ,500mg,10 capsules,Pakistan,Suspicious
Omeprazole,Evans Medical Plc,D6-8570,6193478536981,B24-6339,2028-10-18,Tablet,400mg,10 capsules,Nigeria,Genuine
Vitamin CC,may & baker nigeria plc,DHSM0,6194811051291,90,05/05/2025,Tablet,???,BULK,Unknown,Suspicious
Augmentin,SKG Pharma Ltd,R4-9666,6190841241183,BT25-4716,2027-12-11,Suspension,125mg/5ml,5 vials,Nigeria,Genuine
Cotrimoxazole,Nigerian German Chemicals Plc,E4-9283,6191323570715,BT26-8759,2028-09-06,Syrup,5mg,20 capsules,Nigeria,Genuine
Prednisolone,May & Baker Nigeria Plc,N1-6928,6199273874020,B26-1107,2029-12-24,Capsule,20mg,60ml bottle,Nigeria,Genuine
Power Drug,NovaDrug Industries,B84XX9,043770296,N/A,01/04/2026,OINTMENT,N/A,20 capsules,India,Suspicious
Cotrimoxzaole,May & Baker Nigeria Plc,S0MXVL,6192175049985,UNKNOWN,???,Syrup,250mg/5ml,1 vial,Ghana,Suspicious
Coartem,SKG Pharma Ltd,N0-2811,6190801810305,L26-3865,2026-08-13,Injection,500mg/5ml,20 tablets,Nigeria,Genuine
Atenolol,May & Baker Nigeria Plc,T5-6060,6198149737469,,2027-12-26,Suspension,250mg/5ml,1 tube,Nigeria,Genuine
Metronidazol,PharmaPlus International,UZ-RMWL,9999999999999,fPb,06/11/2025,Suspension,50mg,1 tube,China,Suspicious
Ceftriaxone,Sanofi Nigeria,O1-9166,6197517016601,B26-0102,2026-10-20,Injection,5mg,200ml bottle,Nigeria,Genuine
Spironolactone,SuperCure Pharma,N/A,3333333333333,BATCH-552,N/A,  Ointment ,50mg,30 tablets,Nigeria,Suspicious
Promethazine,Pfizer Nigeria,X7-5291,6191856302753,BN24-0110,2027-01-22,Cream,250mg/5ml,60ml bottle,Nigeria,Genuine
  Ampiclox ,PharmaFast Nigeria,PENDING,55196282225018256247,71,07/10/2026,  Syrup ,10mg,20 capsules,China,Suspicious
Mulitvitamin,Healwell Pharma Ltd,R0-6922,6190829248289,UNKNOWN,2020-01-16,Powder,20mg,30 tablets,China,Suspicious
Atenolol,Dana Pharmaceuticals Ltd,Z5-4694,6192366185072,L24-0902,2029-01-17,Syrup,20mg,1 vial,Nigeria,Genuine
Panadol,Juhel Nigeria Ltd,M2-7544,6195062292310,BN25-7837,2027-05-11,Suspension,500mg,100ml bottle,Nigeria,Genuine
Aizthromycin,  Sanofi  Nigeria,MVJKQ5,9999999999999,jOr,26/03/2025,powder,200mg,10 tablets,Pakistan,Suspicious
Metronidazol,CureFast Pharmaceuticals,W-26,6190001327894,70,,injection,250mg,BULK,Pakistan,Suspicious
Vitamin CC,MedLine Drugs Ltd,N/A,8888888888888,BATCH-457,,  Capsule ,500mg/5ml,1 tube,Pakistan,Suspicious
Ciprofloxacin,Sanofi Nigeria,C2-9474,6194117309850,BN24-4849,2028-07-23,Cream,250mg,30 tablets,Nigeria,Genuine
Hydrocortisone,SKG Pharma Ltd,Y0-4335,6194824771094,BT26-2694,2028-09-01,Powder,20mg,20 tablets,Nigeria,Genuine
Folic Acid,Pharma Deko Plc,N4-8258,6194231220994,LOT26-9390,2027-10-08,Suspension,125mg/5ml,10 tablets,Nigeria,Genuine
Furosemide,Hovid Nigeria Ltd,A2-5429,6195598516027,BN24-9520,2026-06-18,Sachet,250mg,30 tablets,Nigeria,Genuine
ORS,Dana Pharmaceuticals Ltd,I8-5890,6193443757588,LOT25-2096,2029-07-27,Cream,500mg/5ml,30g tube,Nigeria,Genuine
Paracetamol,SuperCure Pharma,NI-CVBK,0000000000000,---,2021-12-11,Tablet,N/A,60ml bottle,India,Suspicious
aMATEM,GoodHealth Generics,I-21,6199106608624,92,12/01/2026,  Ointment ,UNKNOWN,20 capsules,China,Suspicious
ORS,BestPills International,2AGGL6,417622,sWznbuY,20/01/2026,Podwer,200mg,1 pack,China,Suspicious
Artemether Lumefantrine,GlaxoSmithKline Nigeria,O4-3616,6196841459337,BT25-2609,2029-12-20,Cream,20mg,1 tube,Nigeria,Genuine
Ciprofloxacn,Dana Pharmaceuticals   Ltd ,J4-2422,602093137880210936,---,15/08/2026,Suspension,125mg/5ml,1 pack,Unknown,Suspicious
Diclofenac,Pharma Deko Plc,L2-8848,6191727223972,BT26-4721,2026-05-06,Syrup,20mg,5 vials,Nigeria,Genuine
Amatme,MedLine Drugs Ltd,L1-2393,0000000000000,BATCH-771,2023-08-20,  Capsule ,???,5 vials,Nigeria,Suspicious
Omeprazole,Swiss Pharma Nigeria Ltd,J9-2944,6191650200026,LOT25-3861,2027-02-08,Syrup,125mg/5ml,20 tablets,Nigeria,Genuine
Ceftriaxone,Evans Medical Plc,F0-5756,6199561213777,BT24-6445,2027-07-02,Injection,100mg,100 tablets,Nigeria,Genuine
Tramadol,Juhel Nigeria Ltd,N3-4084,6194324474174,LOT26-6057,2028-11-17,Drops,125mg/5ml,5 vials,Nigeria,Genuine
  Doxycycline ,HOVID NIGERIA LTD,Y1-3067,708666562241976878,BATCH-724,2021-10-02,Ssupension,250mg,N/A,Nigeria,Suspicious
Paracetamol,  Pharma  Deko Plc,WN-QNEI,6196582938542,ILGamDuB,2022-07-13,  Sachet ,5mg,1 vial,Pakistan,Suspicious
Ferrous Sulphate,Juhel Nigeria Ltd,D2-4478,6199130448814,B26-9046,2028-09-22,Injection,250mg,60ml bottle,Nigeria,Genuine
ORS,Neimeth International Pharmaceuticals,X1-4654,6198004983215,BN24-2587,2026-03-26,Capsule,10mg,1 tube,Nigeria,Genuine
Ranitidine,Pfizer Nigeria,F5-7108,6194665905153,BN26-6433,2028-05-24,Sachet,100mg,20 capsules,Nigeria,Genuine
Promethazine,Healwell Pharma Ltd,Q4X55P,M4f7nGX65BuDw,??,2022-02-18,Powder,500mg,100 tablets,Unknown,Suspicious
  Panadol ,DrugKing Industries,UZ-JTON,17356316,13,2023-06-27,Cream,10mg,N/A,Nigeria,Suspicious
Paraectamol,Phamra Deko Plc,N/A,0000000000000,---,2021-01-08,SACHET,200mg,100ml bottle,Nigeria,Suspicious
aMOXICILLIN,NovaDrug Industries,-1189,24571,DuVQF,N/A,Suspension,250mg/5ml,20 tablets,India,Suspicious
Ciprofloxacin,Mopson Pharmaceutical Ltd,E8-6788,6190676251531,B24-4852,2028-08-10,Injection,200mg,10 tablets,Nigeria,Genuine
Erythromycin,Chi Pharmaceuticals Ltd,S6-2069,6194336299949,L26-7145,2028-06-02,Sachet,1g,1 vial,Nigeria,Genuine
Panadol,GlaxoSmithKline Nigeria,W2-7184,6190650191792,BT24-2506,2028-03-03,Suspension,250mg,10 tablets,Nigeria,Genuine
ARTEMETHER LUMEFANTRINE,Healwell Pharma Ltd,NI-HCVL,027169883,N/A,03/02/2026,Powder,UNKNOWN,N/A,Nigeria,Suspicious
  Augmentin ,Chi Pharmaceuticals Ltd,Q2-658508,9205365045,---,???,  Sachet ,100mg,20 capsules,China,Suspicious
Power Drug,Healwell Pharma Ltd,,2958385083,22,04/01/2026,cREAM,125mg/5ml,30 tablets,China,Suspicious
Instant Relief Caps,Sanofi Nigeria,3y7,H9fmOq9GTJ9f7,BATCH-973,2022-03-04,Tablet,50mg,1 pack,Pakistan,Suspicious
Amoixl,WonderDrug Co,OAWPD8,6199737253033,BtlNO,27/03/2025,Crema,500mg,20 tablets,Pakistan,Suspicious
Metronidazole,MedExpress Ltd,B-75,6199646924345,46,17/07/2026,  Syrup ,200mg,1 tube,Unknown,Suspicious
Metformin,SKG Pharma Ltd,I6-6298,6194214066502,LOT25-3015,2029-02-16,Suspension,,60ml bottle,Nigeria,Genuine
Hydrocortisone,Evans Medical Plc,X0-2666,6193111786193,BN24-5482,2028-12-15,Ointment,500mg,5 vials,Nigeria,Genuine
Antacid,Pfizer Nigeria,K6-1737,6197056260855,L25-1591,2026-02-18,Syrup,400mg,30 tablets,Nigeria,Genuine
Lisinopril,BioFix Pharmaceuticals,VJL,0000000000000,BATCH-704,,  Ointment ,400mg,N/A,Pakistan,Suspicious
Ampiclox,MedLine Drugs Ltd,U3-412534,8823092587,67,UNKNOWN,Ointment,20mg,30g tube,China,Suspicious
Diazepam,Neimeth International Pharmaceuticals,Q5-3947,6195800106183,BN26-7406,2028-04-24,Injection,400mg,100 tablets,Nigeria,Genuine
Furosemide,Juhel Nigeria Ltd,O9-2127,6193662103883,L24-1677,2027-08-20,Sachet,500mg,30g tube,Nigeria,Genuine
Lonart DS Extra,SuperCure Pharma,j1-9834,5555555555555,opyjchpr,2023-09-14,  Capsule ,5mg,1 pack,Ghana,Suspicious
Azithromycin,Hovid Nigeria Ltd,L3-3365,6194264250647,BT24-7635,2029-12-18,Suspension,20mg,30 tablets,Nigeria,Genuine
Instant Relief Caps,PharmaPlus International,  T2-8311 ,6198852871580,35,UNKNOWN,  Suspension ,N/A,100ml bottle,Pakistan,Suspicious
Multivitamin,  Evans  Medical Plc,JKJ7OP,0000000000000,JoP,18/01/2025,  Cream ,UNKNOWN,1 vial,China,Suspicious
Instant Relief Caps,Dana Pharmaceuticals Ltd,TW-NAZC,6195781373147,16,22/06/2026,Syurp,5mg,200ml bottle,China,Suspicious
Folic Acid,Swiss Pharma Nigeria Ltd,H4-2380,6193899940435,,2027-12-13,Injection,125mg/5ml,10 tablets,Nigeria,Genuine
Emzor Paracetamol,GoodHealth Generics,N/A,dZU8WsPL5qqjI,BATCH-194,19/05/2026,Injectino,1g,1 tube,Ghana,Suspicious
Paracetmol,SK GPharma Ltd,wJMoNJ,0000000000000,---,N/A,Sahcet,100mg,5 vials,Ghana,Suspicious
Atenolol,Fidson Healthcare Plc,K5-5279,6195011929205,L25-4136,2029-12-02,Cream,250mg,20 tablets,Nigeria,Genuine
Tramadol,Hovid Nigeria Ltd,G2-3387,6191010232001,BN26-8652,2029-08-14,Ointment,250mg,10 tablets,Nigeria,Genuine
ORS,Bioraj Pharmaceuticals Ltd,U1-7548,6194321269421,B26-5138,2029-05-06,Tablet,200mg,60ml bottle,Nigeria,Genuine
Azithromycin,GlaxoSmithKline Nigeria,A7-1553,6194496410499,L25-0408,2029-07-15,Tablet,200mg,100 tablets,Nigeria,Genuine
Ranitidine,SKG Pharma Ltd,B1-1896,6194159149759,BN24-9678,2026-12-07,Powder,100mg,200ml bottle,Nigeria,Genuine
,TopNotch Drugs Ltd,NOT REGISTERED,LrA4iIwzJZhlq,BATCH-705,2022-01-27,  Tablet ,125mg/5ml,1 vial,Unknown,Suspicious
  Tetracycline ,GlaxoSmithKline Nigeria,M-96,2222222222222,BATCH-762,???,Tablet,100mg,10 tablets,India,Suspicious
fOLIC aCID,sANOFI nIGERIA,-8680,73381330734533023,??,2021-03-10,Dorps,250mg/5ml,60ml bottle,Ghana,Suspicious
Amoxicillin,May & Baker Nigeria Plc,-8912,6190920199183,BATCH-801,2023-07-04,Capsuel,5mg,5 vials,Pakistan,Suspicious
  Nifedipine ,DrugKing Industries,EsBzQMv0X,YyBAyPfLjg9qD,BATCH-090,11/03/2025,tablet,10mg,30g tube,Pakistan,Suspicious
ORS,Evans Medical Plc,I1-6042,6194885015564,B26-0577,2027-04-11,Cream,125mg/5ml,100ml bottle,Nigeria,Genuine
Emzor Paracetamol,CureFast Pharmaceuticals,EYENYJ,k2nk1IlnwbrwX,VHpophey,19/05/2026,Sachte,1g,20 capsules,Nigeria,Suspicious
Prednisolone,Emzor Pharmaceutical Industries,U1-9696,6197260013650,BN24-3883,2028-05-10,Injection,100mg,1 vial,Nigeria,Genuine
Vitamin B Complex,SKG Pharma Ltd,N3-3728,6198319952982,BN26-0445,2029-02-25,Cream,10mg,30g tube,Nigeria,Genuine
ORS,Fidson Healthcare Plc,F9-6871,6197047264268,BN24-1917,2027-01-07,Powder,400mg,100 tablets,Nigeria,Genuine
Power Drug,AlphaHealth Industries,h3-1971,8888888888888,8,26/03/2025,Capusle,UNKNOWN,100 tablets,Nigeria,Suspicious
Hydrcoortisone,sANOFI nIGERIA,TJHULU,4444444444444,14,2020-06-10,Syrup,5mg,20 capsules,India,Suspicious
Magic Cure Pill,BestPills International,R-43,0000000000000,BATCH-105,,Injection,500mg/5ml,1 pack,Ghana,Suspicious
Spironolactone,Evans Medical Plc,Y1-8132,6192342192629,BT24-3267,2027-01-10,Capsule,500mg,10 capsules,Nigeria,Genuine
Panado,MedExpress Ltd,M9-8688,0000000000000,BATCH-512,UNKNOWN,  Cream ,1g,N/A,Ghana,Suspicious
Ceftriaxone,Neimeth International Pharmaceuticals,A9-6823,6190556057123,BN26-8628,2026-10-05,Drops,50mg,200ml bottle,Nigeria,Genuine
Hydrocortisone,Chi Pharmaceuticals Ltd,N8-1698,6198081571299,BN26-1872,2028-12-02,Drops,250mg,100 tablets,Nigeria,Genuine
Antacid,Healwell Pharma Ltd,PENDING,2cnqYriNFvHFK,FtFjIF,2023-07-23,SYRUP,UNKNOWN,100ml bottle,Nigeria,Suspicious
Ciprofloaxcin,nigerian german chemicals plc,U8-1992,6196414753367,BATCH-187,25/07/2026,cream,20mg,N/A,China,Suspicious
Ferrous Sulphate,Swiss Pharma Nigeria Ltd,I9-2180,6194168601347,L25-9121,2028-09-19,Ointment,200mg,10 capsules,Nigeria,Genuine
Ciprofloxacin,Mopson Pharmaceutical Ltd,U8-4703,6195034469450,B25-4273,2027-02-19,Syrup,250mg,1 tube,Nigeria,Genuine
Paracteamol,HealthMax Pharma,TU-VJCM,95312178,BATCH-863,05/10/2026,DROPS,5mg,30 tablets,Pakistan,Suspicious
  Ciprofloxacin ,FastRelief Drugs,N-47,6198793978959,59,02/02/2025,Injection,20mg,100 tablets,Unknown,Suspicious
Instant Relief Caps,BestPills International,L7-8539,276947308824035,23,N/A,Syurp,500mg,20 capsules,Pakistan,Suspicious
Vitamin B Complex,Evans Medical Plc,R6-9133,6196497974161,BT25-5794,2029-12-02,Injection,10mg,10 tablets,Nigeria,Genuine
Antacid,Bioraj Pharmaceuticals Ltd,C2-8172,6198686694324,BN24-9469,2027-10-23,Tablet,500mg/5ml,200ml bottle,Nigeria,Genuine
Amoxicilin,MedLine Drugs Ltd,NOT REGISTERED,0000000000000,UNKNOWN,N/A,CREAM,20mg,100 tablets,Ghana,Suspicious
Ranitidine,May & Baker Nigeria Plc,Q1-8399,6197038860868,B26-0907,2027-05-15,Ointment,400mg,30g tube,Nigeria,Genuine
MegaVit Plus,GoodHealth Generics,C5-8074,6196780194672,oZS,N/A,Injetcion,200mg,20 capsules,Nigeria,Suspicious
ORS,Tuyil Pharmaceutical Industries,U1-9779,6193440496398,BN26-9573,2026-10-11,Injection,250mg,1 vial,Nigeria,Genuine
  Metronidazole ,Swiss Pharma Nigeria Ldt,N/A,6194194785509,kwl,,  Capsule ,10mg,1 pack,Pakistan,Suspicious
Diclofenac,Juhel Nigeria Ltd,N5-9462,6198043416514,B24-7907,2028-06-07,Sachet,400mg,30 tablets,Nigeria,Genuine
Vitamin B Complex,Neimeth International Pharmaceuticals,B9-9520,6195916795417,BN25-2510,2029-11-05,Powder,400mg,1 vial,Nigeria,Genuine
Power Drug,Neimeth International   Pharmaceuticals ,8UI5MG,432926,4,22/06/2026,Cream,400mg,1 vial,Pakistan,Suspicious
  Metronidazole ,PharmaPlus International,T2-251962,0000000000000,N/A,UNKNOWN,Sahcet,UNKNOWN,20 capsules,China,Suspicious
Omeprazole,GlaxoSmithKline Nigeria,M0-8020,6194842294056,L26-2636,2026-03-11,Sachet,500mg,30g tube,Nigeria,Genuine
AMOXICILLIN,WonderDrug Co,R8-1114,7777777777777,QgFUt,UNKNOWN,Injeciton,10mg,20 tablets,India,Suspicious
Augmenti,WonderDrug Co,N/A,0000000000000,Fyi,???,CAPSULE,5mg,1 tube,China,Suspicious
Spironolactone,Pharma Deko Plc,Q1-2041,,B24-8643,2028-08-21,Tablet,500mg,100ml bottle,Nigeria,Genuine
Artemether Lumefantrine,Pfizer Nigeria,V5-5134,6196540842454,L24-7419,2028-05-21,Tablet,1g,20 tablets,Nigeria,Genuine
Panadol,Swiss Pharma Nigeria   Ltd ,N9-5891,11233,vEt,21/07/2026,SUSPENSION,20mg,30g tube,Pakistan,Suspicious
Augmenti,Tuyil Pharmaceutical Indutsries,VC-ZUBK,0000000000000,N/A,08/04/2026,Suspension,200mg,100ml bottle,Nigeria,Suspicious
ors,emzor pharmaceutical industries,J7-8181,6198863713794,N/A,N/A,cREAM,10mg,30 tablets,China,Suspicious
Vitamin C,Nigerian German Chemicals Plc,X2-4867,6191981898473,BN24-9927,2026-06-11,Sachet,250mg/5ml,60ml bottle,Nigeria,Genuine
Chloroquine,Mopson Pharmaceutical Ltd,A3-1281,6195872105527,LOT25-2461,2029-04-07,Suspension,500mg,1 tube,Nigeria,Genuine
Super Paracetamol,Sunrise Medications,B0-9739,0000000000000,BATCH-999,UNKNOWN,Injectoin,400mg,20 tablets,India,Suspicious
Emzor Paracetamol,eMZOR pHARMACEUTICAL iNDUSTRIES,f2-1484,9999999999999,ZUj,09/08/2025,Tablet,500mg,30 tablets,Unknown,Suspicious
gLIBENCLAMIDE,SKG Pharma Ltd,A3-7411,947281326598450337,iIoZRzlG,2020-11-07,Syrpu,125mg/5ml,10 capsules,Ghana,Suspicious
Flagy,Drugfield Pharmaceuticals   Ltd ,N/A,6190668904179,69,2020-08-14,sYRUP,200mg,100 tablets,India,Suspicious
Metronidazol,dRUGFIELD pHARMACEUTICALS lTD,F-62,666179962356999,76,,Suspensino,500mg/5ml,1 pack,Ghana,Suspicious
Panado,Sanofi Nigeria,bSFHsaU9,6190208019295,jetQ,27/04/2025,Injeciton,250mg,100ml bottle,China,Suspicious
Paracetmol,CureFast Pharmaceuticals,1HT,2222222222222,27,2020-07-22,  Tablet ,20mg,20 capsules,India,Suspicious
Ibuprofen,Mopson Pharmaceutical Ltd,K6-1749,6199320489962,LOT24-3314,2028-04-13,Sachet,200mg,100ml bottle,Nigeria,Genuine
Amoxicilin,NovaDrug Industries,V-77,368850162762922666,N/A,,Drops,100mg,30g tube,India,Suspicious
PROMETHAZINE,GoodHealth Generics,OX-LTYK,aWhYNv2CuXqZA,BATCH-757,02/04/2026,Syrup,???,5 vials,India,Suspicious
Vitamin B Complex,Bioraj Pharmaceuticals Ltd,D7-8471,6196655868516,BT25-7118,2028-03-18,Sachet,100mg,200ml bottle,Nigeria,Genuine
Tetracycline,Pfizer Nigeria,N0-7350,6193399129712,BN24-5171,2026-08-04,Drops,10mg,30 tablets,Nigeria,Genuine
Spironolactone,Emzor Pharmaceutical Industries,L1-6649,6193195205856,BT26-7712,2029-11-06,Syrup,250mg,1 tube,Nigeria,Genuine
Coartem,Hovid Nigeria Ltd,B6-8771,6195712369140,B25-1599,2026-03-17,Drops,125mg/5ml,1 vial,Nigeria,Genuine
Artemether Lumefantrine,Emzor Pharmaceutical Industries,E5-2747,6192137565898,L24-5519,2028-11-22,Drops,500mg,200ml bottle,Nigeria,Genuine
Gentamicin,Fidson Healthcare Plc,Y6-7033,6199266108576,BT26-2640,2029-09-21,Powder,250mg,10 capsules,Nigeria,Genuine
Emzor Paracetamol,Swiss Pharma Nigeria Ltd,C1-1772,6191878035868,B24-1311,2029-01-28,Drops,400mg,1 tube,Nigeria,Genuine
