DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
amoxicilin,supercure pharma,2vxo3p,0000000000000,vurce,07/03/2025,drosp,250mg,10 tablets,ghana,Suspicious,1
amlodipine,swiss pharma nigeria ltd,x5-6252,6194218808795,b24-6777,2027-11-08,injection,250mg/5ml,20 tablets,nigeria,Genuine,0
nifedipine,nigerian german chemicals plc,q3-2724,6195893571264,l24-1611,2026-07-05,drops,200mg,100ml bottle,nigeria,Genuine,0
amoxicillin,megadrug industries,u1-6219,gllywp8motrws,unknown,2022-02-13,injection,unknown,20 tablets,ghana,Suspicious,1
vitamin b complex,pharma deko plc,w7-3601,6199949387434,bn24-7402,2026-07-20,suspension,5mg,20 capsules,nigeria,Genuine,0
amlodipine,glaxosmithkline nigeria,v8-5423,6199926189143,bn24-8254,2027-10-07,injection,5mg,100 tablets,nigeria,Genuine,0
super paracetamol,healwell pharma ltd,t9-2393,chlxx1u6oymil,---,2020-12-14,syrup,125mg/5ml,5 vials,ghana,Suspicious,1
ferrous sulphate,glaxosmithkline nigeria,l4-9237,6190940476042,lot26-1037,2026-12-16,sachet,125mg/5ml,100ml bottle,nigeria,Genuine,0
panadol,medline drugs ltd,1yns3b,0930548473,batch-486,2021-05-27,ceram,200mg,1 tube,nigeria,Suspicious,1
erythromycin,chi pharmaceuticals ltd,v6-9724,6190408509541,b24-0548,2028-12-27,sachet,20mg,60ml bottle,nigeria,Genuine,0
amlodipine,pfizer nigeria,s6-5319,6193385324725,lot26-1043,2028-09-08,suspension,200mg,10 capsules,nigeria,Genuine,0
amoxil,pharmaplus international,l8-416575,44157,70,2022-12-07,ointment,unknown,30g tube,nigeria,Suspicious,1
promethazine,mopson pharmaceutical ltd,o2-8242,6199083350905,bt25-4209,2027-06-15,suspension,125mg/5ml,10 tablets,nigeria,Genuine,0
atenolol,biofix pharmaceuticals,vvenacl4,11745553706272816,unknown,2023-05-13,capsule,125mg/5ml,bulk,india,Suspicious,1
chloroquine,neimeth international pharmaceuticals,z9-6744,6199629233099,lot26-4705,2027-06-23,injection,400mg,1 vial,nigeria,Genuine,0
diclofenac,drugking industries,-7762,zyfemglxjjwnd,17,2020-03-08,injection,500mg/5ml,1 pack,unknown,Suspicious,1
erythromycin,fidson healthcare plc,r4-6925,6199310341317,l25-7528,2028-03-12,cream,200mg,5 vials,nigeria,Genuine,0
artemether lumefantrine,healthmax pharma,tj-xcil,814980253084376992,??,10/08/2026,sryup,1g,20 capsules,china,Suspicious,1
magic cure pill,healwell pharma ltd,y4-6594,qxd34b6yfwcux,gzuignpe,2023-05-07,sachet,5mg,200ml bottle,unknown,Suspicious,1
instant relief caps,dana pharmaceuticals ltd,not registered,6192800417707,unknown,23/07/2025,suspension,200mg,100ml bottle,ghana,Suspicious,1
chlorpheniramine,fidson healthcare plc,e3-5968,6197851961063,lot25-2965,2029-12-19,syrup,200mg,30 tablets,nigeria,Genuine,0
coartem,bioraj pharmaceuticals ltd,qntpap,nwdpnuwytqthc,bpwer,12/02/2025,tablet,???,200ml bottle,china,Suspicious,1
amoldipine,glaxosmithkline nigeria,d3-945872,6193659050411,unknown,05/03/2025,injection,???,1 pack,nigeria,Suspicious,1
cotrimoxazole,mopson pharmaceutical ltd,a1-8058,6197318826171,bn24-4198,2027-08-13,cream,400mg,20 capsules,nigeria,Genuine,0
atenolol,dana pharmaceuticals ltd,e0-7436,6197998136461,bt24-5607,2026-08-19,tablet,5mg,60ml bottle,nigeria,Genuine,0
lonart,mopson pharmaceutical ltd,c3-5654,6192284993902,b26-3058,2029-02-08,drops,125mg/5ml,20 tablets,nigeria,Genuine,0
ceftriaxone,pfizer nigeria,u8-7646,6193210613390,lot26-3611,2028-06-15,tablet,125mg/5ml,5 vials,nigeria,Genuine,0
chloroquine,fidson healthcare plc,k9-5751,6198989596547,l26-7220,2027-05-11,injection,400mg,1 tube,nigeria,Genuine,0
augmentin,drugfield pharmaceuticals ltd,g8-1731,6197017656369,bn24-4205,2026-12-05,cream,125mg/5ml,1 tube,nigeria,Genuine,0
nifedipine,emzor pharmaceutical industries,b3-9673,6194576205557,lot24-8312,2028-01-21,injection,20mg,10 tablets,nigeria,Genuine,0
nifedipine,evans medical plc,g2-9475,6193096520744,lot25-6728,2029-12-02,sachet,250mg/5ml,1 vial,nigeria,Genuine,0
chlorpheniramine,glaxosmithkline nigeria,e8-8479,6198848699969,b26-8529,2027-12-20,tablet,400mg,20 capsules,nigeria,Genuine,0
folic acid,juhel nigeria ltd,u4-5382,6199647598767,bt24-0478,2027-12-08,injection,250mg/5ml,1 tube,nigeria,Genuine,0
nifedipine,glaxosmithkline nigeria,c5-9247,6194886008015,l26-8558,2029-08-23,drops,5mg,30 tablets,nigeria,Genuine,0
emzor paracetamol,pfizer nigeria,k6-3177,6195257150999,l25-8472,2027-09-19,tablet,200mg,10 tablets,nigeria,Genuine,0
lonart,evans medical plc,n7-6331,6193612751560,bt25-8114,2029-11-08,tablet,400mg,10 capsules,nigeria,Genuine,0
amatem,chi pharmaceuticals ltd,p3-8178,6192037638821,bn25-6175,2028-12-04,injection,125mg/5ml,200ml bottle,nigeria,Genuine,0
vitamin b complex,novadrug industries,q1-2452,6193899906820,nha,2023-08-12,suspension,500mg/5ml,100ml bottle,ghana,Suspicious,1
super paracetamol,unknown,u1-3363,6196428125983,51,2020-08-27,injection,5mg,5 vials,pakistan,Suspicious,1
amoxil,bioraj pharmaceuticals ltd,a3-1852,6195690674472,bn25-4159,2027-12-17,syrup,200mg,10 capsules,nigeria,Genuine,0
antacid,pfizer nigeria,o2-2153,6195406417690,bt26-8083,2028-04-17,capsule,250mg,1 tube,nigeria,Genuine,0
lisinopril,bioraj pharmaceuticals ltd,o7-6922,6198030468755,bn25-3288,2028-02-19,tablet,250mg/5ml,100 tablets,nigeria,Genuine,0
ibuprofen,swiss pharma nigeria ltd,s8-4314,6192482629252,bn26-8832,2026-03-11,syrup,unknown,10 tablets,nigeria,Genuine,0
panadol,novadrug industries,epddmqysyw,wryfods3fxqay,evsett,12/12/2026,inejction,20mg,30 tablets,pakistan,Suspicious,1
chlorpheniramine,may & baker nigeria plc,d9-3646,6197750461626,87,UNKNOWN,suspension,unknown,1 tube,unknown,Suspicious,1
multivitamin,supercure pharma,m6-461518,6191837847716,57,08/05/2026,tablet,500mg/5ml,5 vials,pakistan,Suspicious,1
promethazine,skg pharma ltd,i9-9060,6193502080213,lot25-2148,2029-12-01,suspension,250mg,30 tablets,nigeria,Genuine,0
hydrocortisone,pfizer nigeria,g0-4212,6196149872838,b26-9979,2027-02-19,syrup,250mg/5ml,20 tablets,nigeria,Genuine,0
vitamin b complex,may & baker nigeira plc,f5-4251,15255,unknown,15/12/2025,ointment,100mg,1 pack,india,Suspicious,1
panado,pharmafast nigeria,e2-649795,4444444444444,batch-764,18/01/2026,ointment,250mg,200ml bottle,nigeria,Suspicious,1
folic acid,sanofi nigeria,o7-6547,6192441822267,bn26-6812,2027-09-18,drops,250mg/5ml,10 capsules,nigeria,Genuine,0
metronidazole,emzor pharmaceutical industries,t1-1931,6199391119263,b24-1916,2027-05-10,drops,125mg/5ml,20 tablets,nigeria,Genuine,0
prednisolone,fidson healthcare plc,n0-4720,6199886365366,bt24-8532,2028-06-12,sachet,500mg,60ml bottle,nigeria,Genuine,0
azithromycin,pharma deko plc,c7-5921,6192243864908,b24-0838,2026-09-14,ointment,250mg,100ml bottle,nigeria,Genuine,0
panado,alphahealth industries,i-41,6197804704075,50,03/09/2026,cream,10mg,unknown,ghana,Suspicious,1
tetracycline,chi pharmaceuticals ltd,q9-8106,6191122338653,lot26-7137,2027-01-25,sachet,1g,100 tablets,nigeria,Genuine,0
power drug,healthmax pharma,thwubbnty,nu5v58zbkmmzn,??,???,cream,250mg,10 tablets,india,Suspicious,1
nifedipine,hovid nigeria ltd,u4-8652,6197686342341,l24-9662,2028-03-26,suspension,250mg/5ml,100ml bottle,nigeria,Genuine,0
lisinopril,fidson healthcare plc,c4-8415,6191656094568,lot24-5077,2029-10-19,drops,125mg/5ml,1 vial,nigeria,Genuine,0
folic acid,dana pharmaceuticals ltd,s3-6710,6194358644963,bt26-2381,2028-04-22,cream,250mg/5ml,200ml bottle,nigeria,Genuine,0
multivitamin,nigerian german chemicals plc,-8836,0000000000000,lkpobo,2020-01-19,caspule,125mg/5ml,20 capsules,pakistan,Suspicious,1
multivitamin,sanofi nigeria,unknown,6198249671830,bt25-8954,2027-04-18,ointment,5mg,100ml bottle,nigeria,Genuine,0
power drug,sunrise medications,p9-3869,0000000000000,batch-826,09/11/2025,syrup,125mg/5ml,200ml bottle,nigeria,Suspicious,1
lisinopril,nigerian german chemicals plc,z6-7247,6197252145260,lot25-1586,2027-05-13,suspension,200mg,20 capsules,nigeria,Genuine,0
augmentin,chi pharmaceuitcals ltd,l-10,6193856162719,batch-021,???,suspension,125mg/5ml,bulk,china,Suspicious,1
prednisolone,sanofi nigeria,a7-5055,6197100943888,bt24-1638,2026-05-26,cream,50mg,100ml bottle,nigeria,Genuine,0
ciprofloxacin,tuyil pharmaceutical industries,l0-9894,6190196304533,bn25-3860,2028-12-18,powder,100mg,10 capsules,nigeria,Genuine,0
tramadol,tuyil pharmaceutical industries,t2-8643,387885,66,24/11/2026,powder,50mg,1 pack,unknown,Suspicious,1
metformin,evans medical plc,unknown,6196066961066,unknown,???,injection,200mg,10 capsules,nigeria,Suspicious,1
hydrocortisone,pharmaplus international,none,0000000000000,batch-753,unknown,tablet,400mg,5 vials,unknown,Suspicious,1
amoxicilin,sunrise medications,o28-083,8699724,batch-646,UNKNOWN,cream,20mg,20 capsules,unknown,Suspicious,1
omeprazole,emzor pharmaceutical industries,y0-8767,6192290349441,l25-5813,2029-05-07,drops,400mg,5 vials,nigeria,Genuine,0
power drug,medexpress ltd,u6-3071,8888888888888,---,11/05/2025,syrup,???,100 tablets,india,Suspicious,1
magic cure pill,emzor pharmaceutical industries,flvm8n,4444444444444,93,2022-12-14,syrup,20mg,1 pack,india,Suspicious,1
erythromycin,glaxosmithkline nigeria,p9-4695,6192710405412,bn25-2887,2029-03-24,capsule,5mg,20 tablets,nigeria,Genuine,0
omeprazole,glaxosmithkline nigeria,g8-6739,6198542493214,lot26-5649,2029-01-05,tablet,50mg,5 vials,nigeria,Genuine,0
loperamide,skg pharma ltd,d9-7380,6190940970526,l26-7609,2028-01-06,cream,5mg,200ml bottle,nigeria,Genuine,0
chloroquine,healwell pharma ltd,h5pkp6,764747,unknown,unknown,ointment,10mg,100 tablets,india,Suspicious,1
gentamicin,megadrug industries,pending,6193035821727,unknown,unknown,tablet,250mg,200ml bottle,pakistan,Suspicious,1
flagyl,medexpress ltd,y0-659333,0000000000000,unknown,2022-02-25,capsule,unknown,30 tablets,nigeria,Suspicious,1
panadol,pharma deko plc,b3-4829,6195910157099,bn26-6133,2026-05-10,sachet,100mg,10 tablets,nigeria,Genuine,0
multivitamin,drugfield pharmaceuticals ltd,h2-6599,6196216893636,b24-7087,2028-10-11,drops,5mg,30 tablets,nigeria,Genuine,0
vitamin c,medexpress ltd,hz3n,13693005,23,2022-05-06,ointment,50mg,1 tube,china,Suspicious,1
spironolactone,juhel nigeria ltd,n3-5391,6192777522596,bt24-6954,2026-07-12,powder,250mg,30 tablets,nigeria,Genuine,0
multivitamin,healthmax pharma,3xhfxbpjys,b12atowofimqs,bcjhmzd,2022-08-16,sachet,10mg,5 vials,pakistan,Suspicious,1
lisinopril,neimeth international pharmaceuticals,n2-7693,6192044397353,b26-7606,2026-01-16,syrup,10mg,1 tube,nigeria,Genuine,0
omeprazloe,novadrug industries,bh-uznz,906155026134097312,99,unknown,ointment,unknown,unknown,unknown,Suspicious,1
panadol,glaxosmithkline nigeria,h1-3901,6195129311008,lot26-1253,2027-10-21,drops,125mg/5ml,20 capsules,nigeria,Genuine,0
flagyl,drugfield pharmaceuticals ltd,k7-6147,6199833991402,bt26-8359,2028-04-26,ointment,20mg,1 tube,nigeria,Genuine,0
chloroquine,emzor pharmaceutical industries,z3-2262,6191142817855,bt24-8843,2027-04-26,tablet,10mg,30 tablets,nigeria,Genuine,0
chlorpheniramine,nigerian german chemicals plc,b5-8046,6197303064427,bn24-1234,2028-07-03,injection,250mg/5ml,100ml bottle,nigeria,Genuine,0
nifedipine,hovid nigeria ltd,j2-3873,6192231059279,lot25-3122,2027-09-23,tablet,125mg/5ml,20 capsules,nigeria,Genuine,0
ciprofloxacin,dana pharmaceuticals ltd,o4-6491,6195611404287,b25-0802,2028-11-01,cream,200mg,100ml bottle,nigeria,Genuine,0
amoxil,megadrug industries,cc-znbw,92449,67,18/08/2026,drops,500mg,10 capsules,pakistan,Suspicious,1
omeprazole,evans medical plc,d6-8570,6193478536981,b24-6339,2028-10-18,tablet,400mg,10 capsules,nigeria,Genuine,0
vitamin cc,may & baker nigeria plc,dhsm0,6194811051291,90,05/05/2025,tablet,???,bulk,unknown,Suspicious,1
augmentin,skg pharma ltd,r4-9666,6190841241183,bt25-4716,2027-12-11,suspension,125mg/5ml,5 vials,nigeria,Genuine,0
cotrimoxazole,nigerian german chemicals plc,e4-9283,6191323570715,bt26-8759,2028-09-06,syrup,5mg,20 capsules,nigeria,Genuine,0
prednisolone,may & baker nigeria plc,n1-6928,6199273874020,b26-1107,2029-12-24,capsule,20mg,60ml bottle,nigeria,Genuine,0
power drug,novadrug industries,b84xx9,043770296,unknown,01/04/2026,ointment,unknown,20 capsules,india,Suspicious,1
cotrimoxzaole,may & baker nigeria plc,s0mxvl,6192175049985,unknown,???,syrup,250mg/5ml,1 vial,ghana,Suspicious,1
coartem,skg pharma ltd,n0-2811,6190801810305,l26-3865,2026-08-13,injection,500mg/5ml,20 tablets,nigeria,Genuine,0
atenolol,may & baker nigeria plc,t5-6060,6198149737469,unknown,2027-12-26,suspension,250mg/5ml,1 tube,nigeria,Genuine,0
metronidazol,pharmaplus international,uz-rmwl,9999999999999,fpb,06/11/2025,suspension,50mg,1 tube,china,Suspicious,1
ceftriaxone,sanofi nigeria,o1-9166,6197517016601,b26-0102,2026-10-20,injection,5mg,200ml bottle,nigeria,Genuine,0
spironolactone,supercure pharma,unknown,3333333333333,batch-552,unknown,ointment,50mg,30 tablets,nigeria,Suspicious,1
promethazine,pfizer nigeria,x7-5291,6191856302753,bn24-0110,2027-01-22,cream,250mg/5ml,60ml bottle,nigeria,Genuine,0
ampiclox,pharmafast nigeria,pending,55196282225018256247,71,07/10/2026,syrup,10mg,20 capsules,china,Suspicious,1
mulitvitamin,healwell pharma ltd,r0-6922,6190829248289,unknown,2020-01-16,powder,20mg,30 tablets,china,Suspicious,1
atenolol,dana pharmaceuticals ltd,z5-4694,6192366185072,l24-0902,2029-01-17,syrup,20mg,1 vial,nigeria,Genuine,0
panadol,juhel nigeria ltd,m2-7544,6195062292310,bn25-7837,2027-05-11,suspension,500mg,100ml bottle,nigeria,Genuine,0
aizthromycin,sanofi nigeria,mvjkq5,9999999999999,jor,26/03/2025,powder,200mg,10 tablets,pakistan,Suspicious,1
metronidazol,curefast pharmaceuticals,w-26,6190001327894,70,unknown,injection,250mg,bulk,pakistan,Suspicious,1
vitamin cc,medline drugs ltd,unknown,8888888888888,batch-457,unknown,capsule,500mg/5ml,1 tube,pakistan,Suspicious,1
ciprofloxacin,sanofi nigeria,c2-9474,6194117309850,bn24-4849,2028-07-23,cream,250mg,30 tablets,nigeria,Genuine,0
hydrocortisone,skg pharma ltd,y0-4335,6194824771094,bt26-2694,2028-09-01,powder,20mg,20 tablets,nigeria,Genuine,0
folic acid,pharma deko plc,n4-8258,6194231220994,lot26-9390,2027-10-08,suspension,125mg/5ml,10 tablets,nigeria,Genuine,0
furosemide,hovid nigeria ltd,a2-5429,6195598516027,bn24-9520,2026-06-18,sachet,250mg,30 tablets,nigeria,Genuine,0
ors,dana pharmaceuticals ltd,i8-5890,6193443757588,lot25-2096,2029-07-27,cream,500mg/5ml,30g tube,nigeria,Genuine,0
paracetamol,supercure pharma,ni-cvbk,0000000000000,---,2021-12-11,tablet,unknown,60ml bottle,india,Suspicious,1
amatem,goodhealth generics,i-21,6199106608624,92,12/01/2026,ointment,unknown,20 capsules,china,Suspicious,1
ors,bestpills international,2aggl6,417622,swznbuy,20/01/2026,podwer,200mg,1 pack,china,Suspicious,1
artemether lumefantrine,glaxosmithkline nigeria,o4-3616,6196841459337,bt25-2609,2029-12-20,cream,20mg,1 tube,nigeria,Genuine,0
ciprofloxacn,dana pharmaceuticals ltd,j4-2422,602093137880210936,---,15/08/2026,suspension,125mg/5ml,1 pack,unknown,Suspicious,1
diclofenac,pharma deko plc,l2-8848,6191727223972,bt26-4721,2026-05-06,syrup,20mg,5 vials,nigeria,Genuine,0
amatme,medline drugs ltd,l1-2393,0000000000000,batch-771,2023-08-20,capsule,???,5 vials,nigeria,Suspicious,1
omeprazole,swiss pharma nigeria ltd,j9-2944,6191650200026,lot25-3861,2027-02-08,syrup,125mg/5ml,20 tablets,nigeria,Genuine,0
ceftriaxone,evans medical plc,f0-5756,6199561213777,bt24-6445,2027-07-02,injection,100mg,100 tablets,nigeria,Genuine,0
tramadol,juhel nigeria ltd,n3-4084,6194324474174,lot26-6057,2028-11-17,drops,125mg/5ml,5 vials,nigeria,Genuine,0
doxycycline,hovid nigeria ltd,y1-3067,708666562241976878,batch-724,2021-10-02,ssupension,250mg,unknown,nigeria,Suspicious,1
paracetamol,pharma deko plc,wn-qnei,6196582938542,ilgamdub,2022-07-13,sachet,5mg,1 vial,pakistan,Suspicious,1
ferrous sulphate,juhel nigeria ltd,d2-4478,6199130448814,b26-9046,2028-09-22,injection,250mg,60ml bottle,nigeria,Genuine,0
ors,neimeth international pharmaceuticals,x1-4654,6198004983215,bn24-2587,2026-03-26,capsule,10mg,1 tube,nigeria,Genuine,0
ranitidine,pfizer nigeria,f5-7108,6194665905153,bn26-6433,2028-05-24,sachet,100mg,20 capsules,nigeria,Genuine,0
promethazine,healwell pharma ltd,q4x55p,m4f7ngx65budw,??,2022-02-18,powder,500mg,100 tablets,unknown,Suspicious,1
panadol,drugking industries,uz-jton,17356316,13,2023-06-27,cream,10mg,unknown,nigeria,Suspicious,1
paraectamol,phamra deko plc,unknown,0000000000000,---,2021-01-08,sachet,200mg,100ml bottle,nigeria,Suspicious,1
amoxicillin,novadrug industries,-1189,24571,duvqf,unknown,suspension,250mg/5ml,20 tablets,india,Suspicious,1
ciprofloxacin,mopson pharmaceutical ltd,e8-6788,6190676251531,b24-4852,2028-08-10,injection,200mg,10 tablets,nigeria,Genuine,0
erythromycin,chi pharmaceuticals ltd,s6-2069,6194336299949,l26-7145,2028-06-02,sachet,1g,1 vial,nigeria,Genuine,0
panadol,glaxosmithkline nigeria,w2-7184,6190650191792,bt24-2506,2028-03-03,suspension,250mg,10 tablets,nigeria,Genuine,0
artemether lumefantrine,healwell pharma ltd,ni-hcvl,027169883,unknown,03/02/2026,powder,unknown,unknown,nigeria,Suspicious,1
augmentin,chi pharmaceuticals ltd,q2-658508,9205365045,---,???,sachet,100mg,20 capsules,china,Suspicious,1
power drug,healwell pharma ltd,unknown,2958385083,22,04/01/2026,cream,125mg/5ml,30 tablets,china,Suspicious,1
instant relief caps,sanofi nigeria,3y7,h9fmoq9gtj9f7,batch-973,2022-03-04,tablet,50mg,1 pack,pakistan,Suspicious,1
amoixl,wonderdrug co,oawpd8,6199737253033,btlno,27/03/2025,crema,500mg,20 tablets,pakistan,Suspicious,1
metronidazole,medexpress ltd,b-75,6199646924345,46,17/07/2026,syrup,200mg,1 tube,unknown,Suspicious,1
metformin,skg pharma ltd,i6-6298,6194214066502,lot25-3015,2029-02-16,suspension,unknown,60ml bottle,nigeria,Genuine,0
hydrocortisone,evans medical plc,x0-2666,6193111786193,bn24-5482,2028-12-15,ointment,500mg,5 vials,nigeria,Genuine,0
antacid,pfizer nigeria,k6-1737,6197056260855,l25-1591,2026-02-18,syrup,400mg,30 tablets,nigeria,Genuine,0
lisinopril,biofix pharmaceuticals,vjl,0000000000000,batch-704,unknown,ointment,400mg,unknown,pakistan,Suspicious,1
ampiclox,medline drugs ltd,u3-412534,8823092587,67,UNKNOWN,ointment,20mg,30g tube,china,Suspicious,1
diazepam,neimeth international pharmaceuticals,q5-3947,6195800106183,bn26-7406,2028-04-24,injection,400mg,100 tablets,nigeria,Genuine,0
furosemide,juhel nigeria ltd,o9-2127,6193662103883,l24-1677,2027-08-20,sachet,500mg,30g tube,nigeria,Genuine,0
lonart ds extra,supercure pharma,j1-9834,5555555555555,opyjchpr,2023-09-14,capsule,5mg,1 pack,ghana,Suspicious,1
azithromycin,hovid nigeria ltd,l3-3365,6194264250647,bt24-7635,2029-12-18,suspension,20mg,30 tablets,nigeria,Genuine,0
instant relief caps,pharmaplus international,t2-8311,6198852871580,35,UNKNOWN,suspension,unknown,100ml bottle,pakistan,Suspicious,1
multivitamin,evans medical plc,jkj7op,0000000000000,jop,18/01/2025,cream,unknown,1 vial,china,Suspicious,1
instant relief caps,dana pharmaceuticals ltd,tw-nazc,6195781373147,16,22/06/2026,syurp,5mg,200ml bottle,china,Suspicious,1
folic acid,swiss pharma nigeria ltd,h4-2380,6193899940435,unknown,2027-12-13,injection,125mg/5ml,10 tablets,nigeria,Genuine,0
emzor paracetamol,goodhealth generics,unknown,dzu8wspl5qqji,batch-194,19/05/2026,injectino,1g,1 tube,ghana,Suspicious,1
paracetmol,sk gpharma ltd,wjmonj,0000000000000,---,unknown,sahcet,100mg,5 vials,ghana,Suspicious,1
atenolol,fidson healthcare plc,k5-5279,6195011929205,l25-4136,2029-12-02,cream,250mg,20 tablets,nigeria,Genuine,0
tramadol,hovid nigeria ltd,g2-3387,6191010232001,bn26-8652,2029-08-14,ointment,250mg,10 tablets,nigeria,Genuine,0
ors,bioraj pharmaceuticals ltd,u1-7548,6194321269421,b26-5138,2029-05-06,tablet,200mg,60ml bottle,nigeria,Genuine,0
azithromycin,glaxosmithkline nigeria,a7-1553,6194496410499,l25-0408,2029-07-15,tablet,200mg,100 tablets,nigeria,Genuine,0
ranitidine,skg pharma ltd,b1-1896,6194159149759,bn24-9678,2026-12-07,powder,100mg,200ml bottle,nigeria,Genuine,0
unknown,topnotch drugs ltd,not registered,lra4iiwzjzhlq,batch-705,2022-01-27,tablet,125mg/5ml,1 vial,unknown,Suspicious,1
tetracycline,glaxosmithkline nigeria,m-96,2222222222222,batch-762,???,tablet,100mg,10 tablets,india,Suspicious,1
folic acid,sanofi nigeria,-8680,73381330734533023,??,2021-03-10,dorps,250mg/5ml,60ml bottle,ghana,Suspicious,1
amoxicillin,may & baker nigeria plc,-8912,6190920199183,batch-801,2023-07-04,capsuel,5mg,5 vials,pakistan,Suspicious,1
nifedipine,drugking industries,esbzqmv0x,yybaypfljg9qd,batch-090,11/03/2025,tablet,10mg,30g tube,pakistan,Suspicious,1
ors,evans medical plc,i1-6042,6194885015564,b26-0577,2027-04-11,cream,125mg/5ml,100ml bottle,nigeria,Genuine,0
emzor paracetamol,curefast pharmaceuticals,eyenyj,k2nk1ilnwbrwx,vhpophey,19/05/2026,sachte,1g,20 capsules,nigeria,Suspicious,1
prednisolone,emzor pharmaceutical industries,u1-9696,6197260013650,bn24-3883,2028-05-10,injection,100mg,1 vial,nigeria,Genuine,0
vitamin b complex,skg pharma ltd,n3-3728,6198319952982,bn26-0445,2029-02-25,cream,10mg,30g tube,nigeria,Genuine,0
ors,fidson healthcare plc,f9-6871,6197047264268,bn24-1917,2027-01-07,powder,400mg,100 tablets,nigeria,Genuine,0
power drug,alphahealth industries,h3-1971,8888888888888,8,26/03/2025,capusle,unknown,100 tablets,nigeria,Suspicious,1
hydrcoortisone,sanofi nigeria,tjhulu,4444444444444,14,2020-06-10,syrup,5mg,20 capsules,india,Suspicious,1
magic cure pill,bestpills international,r-43,0000000000000,batch-105,unknown,injection,500mg/5ml,1 pack,ghana,Suspicious,1
spironolactone,evans medical plc,y1-8132,6192342192629,bt24-3267,2027-01-10,capsule,500mg,10 capsules,nigeria,Genuine,0
panado,medexpress ltd,m9-8688,0000000000000,batch-512,UNKNOWN,cream,1g,unknown,ghana,Suspicious,1
ceftriaxone,neimeth international pharmaceuticals,a9-6823,6190556057123,bn26-8628,2026-10-05,drops,50mg,200ml bottle,nigeria,Genuine,0
hydrocortisone,chi pharmaceuticals ltd,n8-1698,6198081571299,bn26-1872,2028-12-02,drops,250mg,100 tablets,nigeria,Genuine,0
antacid,healwell pharma ltd,pending,2cnqyrinfvhfk,ftfjif,2023-07-23,syrup,unknown,100ml bottle,nigeria,Suspicious,1
ciprofloaxcin,nigerian german chemicals plc,u8-1992,6196414753367,batch-187,25/07/2026,cream,20mg,unknown,china,Suspicious,1
ferrous sulphate,swiss pharma nigeria ltd,i9-2180,6194168601347,l25-9121,2028-09-19,ointment,200mg,10 capsules,nigeria,Genuine,0
ciprofloxacin,mopson pharmaceutical ltd,u8-4703,6195034469450,b25-4273,2027-02-19,syrup,250mg,1 tube,nigeria,Genuine,0
paracteamol,healthmax pharma,tu-vjcm,95312178,batch-863,05/10/2026,drops,5mg,30 tablets,pakistan,Suspicious,1
ciprofloxacin,fastrelief drugs,n-47,6198793978959,59,02/02/2025,injection,20mg,100 tablets,unknown,Suspicious,1
instant relief caps,bestpills international,l7-8539,276947308824035,23,unknown,syurp,500mg,20 capsules,pakistan,Suspicious,1
vitamin b complex,evans medical plc,r6-9133,6196497974161,bt25-5794,2029-12-02,injection,10mg,10 tablets,nigeria,Genuine,0
antacid,bioraj pharmaceuticals ltd,c2-8172,6198686694324,bn24-9469,2027-10-23,tablet,500mg/5ml,200ml bottle,nigeria,Genuine,0
amoxicilin,medline drugs ltd,not registered,0000000000000,unknown,unknown,cream,20mg,100 tablets,ghana,Suspicious,1
ranitidine,may & baker nigeria plc,q1-8399,6197038860868,b26-0907,2027-05-15,ointment,400mg,30g tube,nigeria,Genuine,0
megavit plus,goodhealth generics,c5-8074,6196780194672,ozs,unknown,injetcion,200mg,20 capsules,nigeria,Suspicious,1
ors,tuyil pharmaceutical industries,u1-9779,6193440496398,bn26-9573,2026-10-11,injection,250mg,1 vial,nigeria,Genuine,0
metronidazole,swiss pharma nigeria ldt,unknown,6194194785509,kwl,unknown,capsule,10mg,1 pack,pakistan,Suspicious,1
diclofenac,juhel nigeria ltd,n5-9462,6198043416514,b24-7907,2028-06-07,sachet,400mg,30 tablets,nigeria,Genuine,0
vitamin b complex,neimeth international pharmaceuticals,b9-9520,6195916795417,bn25-2510,2029-11-05,powder,400mg,1 vial,nigeria,Genuine,0
power drug,neimeth international pharmaceuticals,8ui5mg,432926,4,22/06/2026,cream,400mg,1 vial,pakistan,Suspicious,1
metronidazole,pharmaplus international,t2-251962,0000000000000,unknown,UNKNOWN,sahcet,unknown,20 capsules,china,Suspicious,1
omeprazole,glaxosmithkline nigeria,m0-8020,6194842294056,l26-2636,2026-03-11,sachet,500mg,30g tube,nigeria,Genuine,0
amoxicillin,wonderdrug co,r8-1114,7777777777777,qgfut,UNKNOWN,injeciton,10mg,20 tablets,india,Suspicious,1
augmenti,wonderdrug co,unknown,0000000000000,fyi,???,capsule,5mg,1 tube,china,Suspicious,1
spironolactone,pharma deko plc,q1-2041,unknown,b24-8643,2028-08-21,tablet,500mg,100ml bottle,nigeria,Genuine,0
artemether lumefantrine,pfizer nigeria,v5-5134,6196540842454,l24-7419,2028-05-21,tablet,1g,20 tablets,nigeria,Genuine,0
panadol,swiss pharma nigeria ltd,n9-5891,11233,vet,21/07/2026,suspension,20mg,30g tube,pakistan,Suspicious,1
